,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
28,Ye mo ren,Renhua Na,"['Tianshang caoyuan', 'Una muchacha de Hunan']",N/A,"Reparto, Producción",6 premios y 10 nominaciones
29,Ye mo ren,Wei Ni,"['Yìlei zhi Xingzou de gu bao', 'Yìlei zhi Liang sheng yao']",N/A,Reparto,N/A
30,Ye mo ren,Alex Ru,"['Ye mo ren', 'Ashita ni kakeru ai']",N/A,Reparto,N/A
31,Ye mo ren,Siyu Xu,"['Da Tang rong yao', 'Ye mo ren']",N/A,Reparto,N/A
32,Rumble in Lüdenscheid,Meto Ege,"['Das Spiel Endet', 'Search']",1987,"Reparto, Dirección, Guion",N/A
33,Rumble in Lüdenscheid,Erdem Ege,"['Das Spiel beginnt', 'Rumble in Lüdenscheid']",N/A,Reparto,N/A
34,Rumble in Lüdenscheid,Paul Goniwiecha,"['Das Spiel beginnt', 'Rumble in Lüdenscheid']",1989,Reparto,N/A
35,Rumble in Lüdenscheid,Dennis Wagner,"['Das Spiel Endet', 'Rumble in Lüdenscheid']",N/A,Reparto,N/A
36,Rumble in Lüdenscheid,Tobias Lange,"['Das Spiel beginnt', 'Rumble in Lüdenscheid']",N/A,"Reparto, Cámara y electricidad",N/A
37,Rumble in Lüdenscheid,Marouan Badaoui,"['Das Spiel beginnt', 'Das Spiel Endet']",N/A,"Reparto, Cámara y electricidad",N/A
38,Rumble in Lüdenscheid,Emre Sahin,"['Rumble in Lüdenscheid', 'Arka Sokaklar']",N/A,"Reparto, Especialistas",N/A
39,Rumble in Lüdenscheid,Patrick Wagner,"['Das Spiel Endet', 'Rumble in Lüdenscheid']",N/A,Reparto,N/A
40,El libro del amor (The Book of Love),Jason Sudeikis,"['Ted Lasso', 'Colossal']",1975,"Reparto, Guion, Producción",26 premios y 46 nominaciones en total
41,El libro del amor (The Book of Love),Maisie Williams,"['Los nuevos mutantes', 'Juego de tronos']",1997,"Reparto, Producción, Banda sonora",N/A
42,El libro del amor (The Book of Love),Jessica Biel,"['El ilusionista', 'Total Recall: Desafío total']",1982,"Reparto, Producción, Dirección",6 premios y 32 nominaciones en total
43,El libro del amor (The Book of Love),Mary Steenburgen,"['Plan en Las Vegas', 'Hermanos por pelotas']",1953,"Reparto, Producción, Música",31 premios y 27 nominaciones en total
44,El libro del amor (The Book of Love),Orlando Jones,"['Evolution', 'La máquina del tiempo']",1968,"Reparto, Guion, Equipos adicionales",1 premio y 7 nominaciones
45,El libro del amor (The Book of Love),Richard Robichaux,"['Boyhood. Momentos de una vida', ""Ocean's 8""]",1972,Reparto,N/A
46,El libro del amor (The Book of Love),Paul Reiser,"['Mad About You', 'Aliens: El regreso']",1956,"Reparto, Guion, Producción",5 premios y 34 nominaciones en total
47,El libro del amor (The Book of Love),Bryan Batt,"['Mad Men', '12 años de esclavitud']",1963,"Reparto, Producción",2 premios y 6 nominaciones
48,Morería 17,Antonio G. Ortega,"['Ojalá mañana', 'Morería 17']",N/A,"Reparto, Sonido",N/A
49,Dum Laga Ke Haisha,Ayushmann Khurrana,"['Andhadhun', 'Article 15']",1984,"Reparto, Música, Composición",58 premios y 66 nominaciones
50,Dum Laga Ke Haisha,Bhumi Pednekar,"['Dum Laga Ke Haisha', 'Toilet - Ek Prem Katha']",1989,Reparto,36 premios y 34 nominaciones
51,Dum Laga Ke Haisha,Sheeba Chaddha,"['Badhaai ho', 'Talaash']",1972,Reparto,5 premios y 20 nominaciones
52,Dum Laga Ke Haisha,Sanjay Mishra,"['Masaan', 'Ankhon Dekhi']",1963,"Reparto, Cámara y electricidad, Composición",12 premios y 30 nominaciones
53,Dum Laga Ke Haisha,Kumar Sanu,"['Baazigar', 'Dilwale Dulhania Le Jayenge']",1957,"Music Artist, Música, Reparto",8 premios y 6 nominaciones
54,Dum Laga Ke Haisha,Alka Amin,"['Dum Laga Ke Haisha', 'Badhaai ho']",1960,Reparto,2 nominaciones
55,Dum Laga Ke Haisha,Seema Pahwa,"['Ramprasad Ki Tehrvi', 'Shubh Mangal Saavdhan']",1962,"Reparto, Dirección, Guion",7 premios y 23 nominaciones
56,Dum Laga Ke Haisha,Shrikant Verma,"['Breathe: Into the Shadows', 'Laal Singh Chaddha']",N/A,Reparto,1 nominación
57,Élan Vital,Katrina Lenk,"['Ozark', 'La maravillosa Sra. Maisel']",N/A,"Reparto, Banda sonora, Composición",3 premios y 1 nominación
58,Élan Vital,Matt Ritchey,"['Poker Night', 'Hollywood Vampire']",1974,"Reparto, Dirección, Guion",1 nominación
59,Élan Vital,Rebecca Lane,"['Iron Nest of the Moon', 'Viola Concerto']",N/A,Reparto,N/A
60,Élan Vital,Michael Onofri,"['Megan Leavey', 'Trainers']",N/A,"Equipos adicionales, Guion, Reparto",N/A
61,Élan Vital,Rob Zabrecky,"['A Ghost Story', 'Lost River']",1968,"Reparto, Producción, Edición",N/A
62,Élan Vital,Rod Ives,"['Outlaw Johnny Black', 'Voro']",N/A,Reparto,N/A
63,Élan Vital,Jay Wallace,"['Élan Vital', 'The Code: Legend of the Gamers']",N/A,Reparto,N/A
64,Élan Vital,Elisa Stone,"['Mr. Sadman', 'Bum Wrap']",N/A,Reparto,N/A
65,Eoneu yeoreumnal bame,Tae-Hoon Kim,"['Eoneu yeoreumnal bame', 'Byeolttongbyeol']",N/A,Reparto,N/A
66,Eoneu yeoreumnal bame,Jae-Sung Choi,"['Jamaeui gongdongmyoji', 'Eoneu yeoreumnal bame']",N/A,Reparto,N/A
67,Eoneu yeoreumnal bame,Won-Ho Shin,"['Tomorrow', 'Seutabag-seu dabang']",N/A,Reparto,N/A
68,Eoneu yeoreumnal bame,Tae-rim Lee,"['Abeojineun Gaeda', 'Eoneu yeoreumnal bame']",N/A,Reparto,N/A
69,Oculta,Betiza Bismark Calderón,"['Guava Island', 'Buscando a Coque']",N/A,Reparto,N/A
70,Oculta,Ileana Chávez,"['Oculta', 'La vida es silbar']",N/A,Reparto,N/A
71,Oculta,Andrea Doimeadiós,"['El viaje extraordinario de Celeste García', 'Fenómenos naturales']",1994,Reparto,N/A
72,Oculta,Aguilar Jorge Luis,['Oculta'],N/A,Reparto,N/A
73,Oculta,Juli López,"['Oculta', 'Linda Chica Rocker']",N/A,Reparto,N/A
74,Grateful Films,Mike Stanley,"['Ozark', 'Dopesick: Historia de una adicción']",197?,"Reparto, Producción, Guion",1 premio y 1 nominación
75,Grateful Films,Avi Tomczak,"['Grateful Films', 'Believe']",N/A,Reparto,N/A
76,Grateful Films,Robert C. Jolley Jr.,['Grateful Films'],N/A,Reparto,N/A
77,Grateful Films,Jen MacDonald,['Grateful Films'],N/A,Reparto,N/A
78,Grateful Films,Gideon Scott,['Grateful Films'],N/A,Reparto,N/A
79,Grateful Films,Ariel Dennis,['Grateful Films'],N/A,Reparto,N/A
80,Grateful Films,Robert MacDonald III,['Grateful Films'],N/A,Reparto,N/A
81,Grateful Films,Brooke McLaurin,['Grateful Films'],N/A,Reparto,N/A
82,Pequeño secreto,Fionnula Flanagan,"['Los otros', 'Despertando a Ned']",1941,"Reparto, Producción, Guion",8 premios y 13 nominaciones en total
83,Pequeño secreto,Erroll Shand,"['Deathgasm', 'Underbelly: Land of the Long Green Cloud']",N/A,Reparto,N/A
84,Pequeño secreto,Maria Flor,"['Cabocla', 'Chega de Saudade']",1983,"Reparto, Dirección, Guion",4 premios y 8 nominaciones
85,Pequeño secreto,Júlia Lemmertz,"['Do Começo ao Fim', 'Meu Nome Não é Johnny']",1963,"Reparto, Producción, Banda sonora",N/A
86,Pequeño secreto,Marcello Antony,"['Paraíso Tropical', 'O Dia da Caça']",1965,Reparto,2 premios y 6 nominaciones
87,Pequeño secreto,Michael Wade,"['Auton 2: Sentinel', 'Auton']",1949,Reparto,N/A
88,Pequeño secreto,Régius Brandão,"['Doutor Gama', 'O Amuleto']",N/A,Reparto,N/A
89,Pequeño secreto,Thomas Silvestre,['Pequeño secreto'],N/A,Reparto,N/A
90,Infiltrado,Bryan Cranston,"['Breaking Bad', 'Malcolm']",1956,"Reparto, Producción, Guion",59 premios y 106 nominaciones en total
91,Infiltrado,Leanne Best,"['Infiltrado', 'La mujer de negro: El ángel de la muerte']",N/A,"Reparto, Banda sonora",11 premios y 3 nominaciones
92,Infiltrado,Daniel Mays,"['El robo del siglo', 'Rogue One: Una historia de Star Wars']",1978,"Reparto, Banda sonora",1 premio y 3 nominaciones en total
93,Infiltrado,Tom Vaughan-Lawlor,"['Vengadores: Infinity War', 'Vengadores: Endgame']",1977,Reparto,5 premios y 5 nominaciones
94,Infiltrado,Niall Hayes,"['Infiltrado', 'Spotless']",N/A,Reparto,N/A
95,Infiltrado,Lara Decaro,"['Criminal', 'Liga de la Justicia']",N/A,Reparto,N/A
96,Infiltrado,Juliet Aubrey,"['Middlemarch', 'Infiltrado']",1966,"Reparto, Banda sonora",2 premios en total
97,Infiltrado,Olympia Dukakis,"['Hechizo de luna', 'Magnolias de acero']",1931,"Reparto, Producción",18 premios y 22 nominaciones en total
98,Passengers,Jennifer Lawrence,"['Los juegos del hambre', 'El lado bueno de las cosas']",1990,"Reparto, Producción, Guion",N/A
99,Passengers,Chris Pratt,"['Guardianes de la Galaxia', 'Parks and Recreation']",1979,"Reparto, Producción, Equipos adicionales",N/A
100,Passengers,Michael Sheen,"['Masters of Sex', 'El desafío - Frost contra Nixon']",1969,"Reparto, Producción, Dirección",27 premios y 42 nominaciones en total
101,Passengers,Laurence Fishburne,"['Matrix', 'Matrix Reloaded']",1961,"Reparto, Producción, Dirección",N/A
102,Passengers,Andy Garcia,"[""Ocean's Eleven: Hagan juego"", 'El padrino parte III']",1956,"Reparto, Producción, Dirección",22 premios y 28 nominaciones en total
103,Passengers,Vince Foster,"['Godzilla: Rey de los monstruos', 'The Resident']",N/A,"Reparto, Producción, Dirección","1,75 m"
104,Passengers,Kara Flowers,"['Vamos de polis', 'Passengers']",1984,"Reparto, Especialistas",N/A
105,Passengers,Conor Brophy,"['Passengers', 'Multiplayer']",N/A,"Producción, Reparto, Guion",N/A
