,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
846,Shadows,Nori Satô,"['El vagón de la muerte', 'Kamen Raidâ Ribaisu']",1984,Reparto,N/A
847,Shadows,Viyada Umarin,"['Grounded God', 'Phra apai mani']",N/A,"Reparto, Dirección de producción",Wiyada Umarin
848,Shadows,Weeratham Wichairaksakul,['Shadows'],N/A,Reparto,N/A
849,Shadows,Chanin Goldsmith,['Shadows'],N/A,Reparto,N/A
850,Act Naturally,Katie L. Hall,"['Act Naturally', ""Don't Tell Larry: The Web Series""]",N/A,"Reparto, Casting, Producción",N/A
851,Act Naturally,Liz Lytle,"['Harmony Drive', 'Moonshine Inc.']",1981,"Reparto, Edición, Dirección",N/A
852,Act Naturally,Susan May Pratt,"['10 razones para odiarte', 'La chica de al lado']",1974,"Reparto, Banda sonora",1 premio
853,Act Naturally,Alan Cox,"['El secreto de la pirámide', 'El dictador']",1970,"Reparto, Producción, Dirección",N/A
854,Act Naturally,Joshua Ryan,"['Act Naturally', 'A Tribute to Tragedy']",N/A,Reparto,N/A
855,Act Naturally,Courtney Abbott,"['Act Naturally', 'Immunities']",N/A,"Reparto, Especialistas, Equipos adicionales",N/A
856,Act Naturally,Rob Roy Fitzgerald,"['3 días para matar', 'Thelma & Louise']",1955,"Reparto, Guion, Producción",N/A
857,Arthur Christmas: Operación regalo,James McAvoy,"['Filth, el sucio', 'Múltiple']",1979,"Reparto, Dirección, Producción",22 premios y 41 nominaciones en total
858,Arthur Christmas: Operación regalo,Hugh Laurie,"['House', 'Tomorrowland: El mundo del mañana']",1959,"Reparto, Producción, Guion",24 premios y 61 nominaciones en total
859,Arthur Christmas: Operación regalo,Bill Nighy,"['Love Actually', 'Piratas del Caribe: El cofre del hombre muerto']",1949,"Reparto, Producción, Banda sonora",20 premios y 50 nominaciones en total
860,Arthur Christmas: Operación regalo,Jim Broadbent,"['Moulin Rouge', 'Another year']",1949,"Reparto, Guion, Producción",24 premios y 56 nominaciones en total
861,Arthur Christmas: Operación regalo,Imelda Staunton,"['El secreto de Vera Drake', 'Harry Potter y la Orden del Fénix']",1956,"Reparto, Banda sonora",25 premios y 47 nominaciones en total
862,Arthur Christmas: Operación regalo,Ashley Jensen,"['Arthur Christmas: Operación regalo', 'Langosta']",1969,"Reparto, Dirección de arte, Producción",4 premios y 12 nominaciones en total
863,Arthur Christmas: Operación regalo,Marc Wootton,"['Preguntas frecuentes sobre viajes en el tiempo', 'Arthur Christmas: Operación regalo']",1975,"Reparto, Guion, Producción",2 nominaciones
864,Arthur Christmas: Operación regalo,Laura Linney,"['Con C mayúscula', 'La familia Savages']",1964,"Reparto, Producción, Equipos adicionales",45 premios y 122 nominaciones en total
865,Woman's Picture,Ann Magnuson,"['La habitación del pánico', 'Pequeños guerreros']",1956,"Reparto, Dirección, Guion",N/A
866,Woman's Picture,Calpernia Addams,"['Transamérica', 'Transproofed']",1971,"Producción, Reparto, Edición",N/A
867,Woman's Picture,Amy Lavere,"['Black Snake Moan', 'En la cuerda floja']",N/A,"Reparto, Banda sonora",Amy Kudela
868,Woman's Picture,Brian Pera,"['The Way I See Things', 'Only Child']",N/A,"Guion, Producción, Dirección","1,70 m"
869,Woman's Picture,Corey Parker,"['Ms. Marvel', 'Sun Records']",1965,"Reparto, Equipos adicionales, Banda sonora",N/A
870,Woman's Picture,Angela Dee,"['Asylum: El experimento', 'Plate-Smashing Gary Presents: GimmeGimme Gatorade']",N/A,"Reparto, Guion, Edición",N/A
871,Woman's Picture,Paul Provenza,"['The Aristocrats', 'Doctor en Alaska']",1957,"Reparto, Producción, Guion",2 nominaciones
872,Woman's Picture,Gerald L'Ecuyer,"['The Grace of God', 'The Critical Years']",N/A,"Reparto, Dirección, Guion",Gérald L'Ecuyer
873,Small Hours,Amy Lavere,"['Black Snake Moan', 'En la cuerda floja']",N/A,"Reparto, Banda sonora",Amy Kudela
874,The Details,Tobey Maguire,"['Brothers (Hermanos)', 'Spider-Man']",1975,"Reparto, Producción, Dirección",N/A
875,The Details,Gary Schwartz,"['Team Fortress 2', 'El cementerio viviente']",1952,"Reparto, Equipos adicionales, Guion",N/A
876,The Details,José Gandara,['The Details'],N/A,Reparto,N/A
877,The Details,Elizabeth Banks,"['Los juegos del hambre', 'Los juegos del hambre: Sinsajo - Parte 1']",1974,"Reparto, Producción, Dirección",13 premios y 36 nominaciones en total
878,The Details,Miles Ellenwood,['The Details'],N/A,Reparto,N/A
879,The Details,Kerry Washington,"['Scandal', 'Ray']",1977,"Reparto, Producción, Dirección",22 premios y 71 nominaciones en total
880,The Details,Ray Liotta,"['Narc', 'Uno de los nuestros']",1954,"Reparto, Producción, Banda sonora",10 premios y 19 nominaciones en total
881,The Details,Rose Cano,"['Nothing Against Life', 'The Details']",N/A,Reparto,N/A
882,Kirjad Inglile,Tõnu Oja,"['Papad mammad', 'Tuulepealne maa']",1958,Reparto,N/A
883,Kirjad Inglile,Rain Simmul,"['1944', 'Need vanad armastuskirjad']",1965,Reparto,N/A
884,Kirjad Inglile,Ketter Habakukk,"['Kirjad Inglile', 'Kelgukoerad']",N/A,Reparto,N/A
885,Kirjad Inglile,Ragne Pekarev,"['Keeris', 'Kalev']",N/A,Reparto,N/A
886,Kirjad Inglile,Kaido Kelder,"['Muukalainen', 'Kirjad Inglile']",N/A,"Reparto, Música",N/A
887,Kirjad Inglile,Mari-Liis Lill,"['Jan Uuspõld läheb Tartusse', 'Seenelkäik']",1983,Reparto,N/A
888,Kirjad Inglile,Kaie Mihkelson,"['Keskea rõõmud', 'Klass']",1948,Reparto,N/A
889,Kirjad Inglile,Tiina Tauraite,"['Sügisball', 'Who Shot Otto Mueller?']",N/A,Reparto,N/A
890,Poley Poley Urey Mon,Ketter Habakukk,"['Kirjad Inglile', 'Kelgukoerad']",N/A,Reparto,N/A
891,Poley Poley Urey Mon,Ragne Pekarev,"['Keeris', 'Kalev']",N/A,Reparto,N/A
892,Poley Poley Urey Mon,Kaido Kelder,"['Muukalainen', 'Kirjad Inglile']",N/A,"Reparto, Música",N/A
893,Poley Poley Urey Mon,Mari-Liis Lill,"['Jan Uuspõld läheb Tartusse', 'Seenelkäik']",1983,Reparto,N/A
894,Poley Poley Urey Mon,Kaie Mihkelson,"['Keskea rõõmud', 'Klass']",1948,Reparto,N/A
895,Poley Poley Urey Mon,Tiina Tauraite,"['Sügisball', 'Who Shot Otto Mueller?']",N/A,Reparto,N/A
