nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
La verdad oculta,Nikolaj Lie Kaas,"['Misericordia: Los casos del Departamento Q', 'Profanación: Los casos del Departamento Q']",1973,"Reparto, Dirección, Guion",16 premios y 22 nominaciones
La verdad oculta,Roxana Condurache,"['La verdad oculta', 'Bogie and Bacall']",N/A,Reparto,N/A
La verdad oculta,Paula Schramm,"['La verdad oculta', 'Millennium: Lo que no te mata te hace más fuerte']",1989,Reparto,"1,57 m"
La verdad oculta,Alexandru Potocean,"['4 meses, 3 semanas, 2 días', 'Camino a la libertad']",1984,Reparto,1 premio y 4 nominaciones
Don't Fade Away,Ryan Kwanten,"['True Blood', 'Silencio desde el mal']",1976,"Reparto, Producción",1 premio y 5 nominaciones
Don't Fade Away,Mischa Barton,"['The O.C.', 'El sexto sentido']",1986,"Reparto, Guion",3 premios y 7 nominaciones
Don't Fade Away,Beau Bridges,"['Los fabulosos Baker Boys', 'Max Payne']",1941,"Reparto, Dirección, Producción",13 premios y 40 nominaciones en total
Don't Fade Away,Fran Kranz,"['La cabaña en el bosque', 'Mass']",1981,"Reparto, Producción, Dirección",22 premios y 32 nominaciones
Don't Fade Away,Ja Rule,"['The Fast and the Furious (A todo gas)', 'Scary Movie 3']",1976,"Music Artist, Reparto, Producción",4 premios y 25 nominaciones
Don't Fade Away,Cicero Salmon III,"['Starf*cker', 'Belleza y poder']",N/A,"Reparto, Casting, Guion",Cicero Salmon
Don't Fade Away,Charles Porter,"['Christmas Angel', 'A Miracle Before Christmas']",1979,"Reparto, Producción, Casting",N/A
Don't Fade Away,Jennifer Sterger,"['The Tenant', ""Eddie Pence's (Un)Special Comedy Special""]",1983,"Reparto, Guion, Maquillaje","1,57 m"
Acts of Violence,Ron Perlman,"['La mano de Dios', 'Hellboy II: El ejército dorado']",1950,"Reparto, Producción, Dirección",13 premios y 20 nominaciones en total
Acts of Violence,Il Lim,"['Acts of Violence', 'Welcome to Sundown']",N/A,"Reparto, Dirección, Guion",N/A
Acts of Violence,Leelee Sobieski,"['88 minutos', 'Nunca me han besado']",1983,"Reparto, Producción",3 premios y 10 nominaciones en total
Acts of Violence,Jim Hanks,"['Blood Type', 'Abnormal Attraction']",1961,"Reparto, Dirección de fotografía y cámara, Producción",2 premios
Acts of Violence,Lorin McCraley,"['Boone', 'El ángel vengador']",N/A,"Reparto, Guion, Producción",N/A
Acts of Violence,Cristos,"['Deep Blue Sea', 'No tan duro de pelar']",N/A,"Reparto, Producción, Guion",N/A
Acts of Violence,Matthew Yang King,"['Avatar: La leyenda de Aang', 'Riverdale']",1974,"Reparto, Guion, Dirección",2 nominaciones
Acts of Violence,Sam Hargrave,"['Tyler Rake', 'Vengadores: Endgame']",N/A,"Especialistas, Reparto, Dirección",8 premios y 9 nominaciones
Eager to Die,Peter O'Toole,"['Lawrence de Arabia', 'El león en invierno']",1932,"Reparto, Producción, Dirección",28 premios y 48 nominaciones en total
Eager to Die,Michelle Rodriquez,"['Eager to Die', 'Screwed Up']",N/A,Reparto,N/A
Eager to Die,Tony Devon,"['Pizza with Bullets', 'Impacto']",1951,"Reparto, Producción, Guion",1 premio
Eager to Die,David Morse,"['6 Foot Rule', 'Eager to Die']",N/A,Reparto,N/A
Eager to Die,Emma Thomas,"['Night in Bombay', 'The Black Caesar']",N/A,Reparto,N/A
Eager to Die,Riccardo Segal,"['Brew', 'Eager to Die']",N/A,Reparto,N/A
Eager to Die,Mike Starr,"['13 Minuteman', 'Eager to Die']",N/A,Reparto,N/A
Eager to Die,Bruce Campbell,"['6 Foot Rule', 'Eager to Die']",N/A,Reparto,N/A
Proie,Grégoire Colin,"['Lisières', 'La baie du renard']",1975,"Reparto, Dirección, Guion",1 premio y 3 nominaciones
Proie,François Levantal,"['El odio', 'Largo domingo de noviazgo']",1960,Reparto,François Levental
Proie,Fred Ulysse,"['Germinal', 'Vidocq: El mito']",1934,Reparto,(causa no comunicada)
Proie,Joseph Malerba,"['El profesional (Léon)', 'Mesrine: Parte 2. Enemigo público nº 1']",1962,Reparto,1 nominación
Amenazados,Samuel L. Jackson,"['Pulp Fiction', 'Los odiosos ocho']",1948,"Reparto, Producción, Equipos adicionales",48 premios y 97 nominaciones en total
Amenazados,Carrie-Anne Moss,"['Matrix', 'Memento']",1967,"Reparto, Producción",5 premios y 9 nominaciones
Amenazados,Michael Sheen,"['Masters of Sex', 'El desafío - Frost contra Nixon']",1969,"Reparto, Producción, Dirección",27 premios y 42 nominaciones en total
Amenazados,Stephen Root,"['Barry', 'Trabajo basura']",noviembre,"Reparto, Banda sonora",1 premio y 13 nominaciones en total
Amenazados,Lora Kojovic,"['Amenazados', 'Sex Drugs Guns']",N/A,Reparto,1 nominación
Amenazados,Martin Donovan,"['Tenet', 'Big Little Lies']",agosto,"Reparto, Dirección, Guion",4 premios y 7 nominaciones
Amenazados,Gil Bellows,"['Patriota', 'Cadena perpetua']",1967,"Reparto, Producción, Dirección",4 premios y 7 nominaciones en total
Amenazados,Vincent Laresca,"['Romeo y Julieta de William Shakespeare', 'Los amos de Dogtown']",1974,Reparto,N/A
De gelukkige huisvrouw,Carice van Houten,"['Juego de tronos', 'El libro negro']",1976,"Reparto, Producción, Guion",26 premios y 20 nominaciones en total
