,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
475,Young Guns,Geoffrey Mogilner,"['Young Guns', 'Captain Cook: The Legend Begins']",N/A,Reparto,N/A
476,Times Up,Anna Magoulas,"['Pequeñas mentirosas: Pecado original', 'Mindhunter']",N/A,"Reparto, Producción",N/A
477,Times Up,Lee Ordeman,"['La fórmula de la felicidad', 'Her Tango']",N/A,Reparto,N/A
478,Unfollowed,Manuel Poblete,"['Cuestión de derechos', '59 Seconds']",N/A,"Reparto, Dirección, Dirección de casting",1 premio
479,Unfollowed,Charles R. Young,"['Harmony in Gold', 'Satanic Hispanics']",N/A,"Producción, Reparto",N/A
480,Caught,Michael Gregory Fung,"['Revenge of the Green Dragons', 'Ley y orden: Acción criminal']",N/A,Reparto,N/A
481,Caught,Edward Henzel,"['Wall Street 2: El dinero nunca duerme', 'Caught']",N/A,Reparto,N/A
482,Caught,Kevin Kolack,"['Blue Ruin', 'Malavita']",1969,"Reparto, Producción, Dirección",1 premio y 1 nominación
483,Caught,Marcel Leach,"['Mataría por ti', 'Caught']",N/A,Reparto,N/A
484,Caught,Joe Lenihan,"['Or So the Story Goes', 'Kith & Kin']",N/A,Reparto,4 premios y 4 nominaciones
485,Caught,Kiera McNeill,['Caught'],N/A,Reparto,N/A
486,"The Woman: Chapter One - Ice Cream, Run",Saye Yabandeh,"['5th & Alameda', 'Sholeh']",1981,"Reparto, Producción, Dirección",4 premios y 2 nominaciones
487,"The Woman: Chapter One - Ice Cream, Run",Cinderella Graham,"['Rogue Cell', 'The Cell']",N/A,Reparto,"1,70 m"
488,"The Woman: Chapter One - Ice Cream, Run",Jared R. Moore,"['Johnny Games', ""Milo's Morning Meditation""]",N/A,"Reparto, Cámara y electricidad, Producción",N/A
489,"The Woman: Chapter One - Ice Cream, Run",Alex Bulat,"['How Paco Ate Taco', 'Abraham Lincoln: Cazador de vampiros']",N/A,"Reparto, Producción, Guion",N/A
490,"The Woman: Chapter One - Ice Cream, Run",Jacques Derosena,"['Black Panther: Wakanda Forever', 'Hijos del Sur']",abril,"Reparto, Equipos adicionales, Producción",1 premio
491,"The Woman: Chapter One - Ice Cream, Run",Erik M. Seltzer,"['The Woman: Chapter One - Ice Cream, Run']",N/A,Reparto,N/A
492,"The Woman: Chapter One - Ice Cream, Run",Ross Scharphorn,"['9-1-1: Lone Star', 'The Amazing Spider-Man 2: El poder de Electro']",1982,"Especialistas, Reparto, Equipos adicionales",N/A
493,"The Woman: Chapter One - Ice Cream, Run",Alvin Hsing,"['Mulán', 'Bullet Train']",N/A,"Especialistas, Reparto, Equipos adicionales",3 nominaciones
494,Late Night Coffee,B.K-McKee,"['The One I Wrote for You', 'For Serious']",N/A,"Reparto, Decoración, Equipos adicionales",N/A
495,Late Night Coffee,Erika Garza,['Late Night Coffee'],N/A,Reparto,N/A
496,The Hunt,Chris Potter,"[""X-Men '97"", 'Un canguro superduro']",agosto,"Reparto, Dirección, Producción",1 premio y 2 nominaciones
497,The Hunt,Rohan Campbell,"['Halloween: El final', 'El mono']",1997,Reparto,1 nominación
498,Cannot Be Defied,Emeli Emanuelson,"['The Lost Boy', 'Cannot Be Defied']",N/A,Reparto,N/A
499,Cannot Be Defied,Jesse Phillips,"['Mt. Molehill', 'Skyfest 2015: Batman vs Superman']",N/A,Reparto,N/A
500,The Apocalypse,Martin Starr,"['Adventureland', 'Spider-Man: Homecoming']",1982,"Reparto, Producción, Guion",1 premio y 4 nominaciones
501,The Apocalypse,Ella Rae Peck,"['Despedida de soltera', 'Thin Walls']",1990,Reparto,5 premios y 2 nominaciones
502,The Apocalypse,Ben Pike,"['A propósito de Llewyn Davis', 'The Apocalypse']",N/A,Reparto,N/A
503,The Apocalypse,Kate Lyn Sheil,"['Tú eres el siguiente', 'Equals']",1985,"Reparto, Guion, Producción",3 premios
504,The Apocalypse,Chanel Michaels,"['The Apocalypse', 'Of Pure Nights']",N/A,Reparto,N/A
505,Revolver,Arron Shiver,"['Boardwalk Empire', 'Los hombres que miraban fijamente a las cabras']",1977,"Reparto, Guion, Dirección",4 premios y 2 nominaciones
506,Revolver,Natasha Lloyd,"['Vida', 'Lost in the Pacific']",N/A,"Reparto, Guion",N/A
