Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Dark Melody,"8,3",,Daniel Chun Loiewski,Daniel Chun Loiewski,"After a man loses the love of his life, he uses his wife's piano as a blueprint to regain everything that was taken from him.",12min
Barlow Grant's Wish,,,Doug LaRue,Doug LaRue,"There is a bond between men who have been in the trenches together that transcends time, space, life and death.",42min
Wiggle Room,"7,6",,,,Stop-Motion Animation film about what happens around the house when you're not there.,8min
Trapped,,,Pedro Baron,Pedro BaronRory Dunwoody,"Trapped is the story about a writer in his early 30's struggling to define his voice as he juggles between his troubled married life; his dead end job, and his self-destructive childhood friends.",18min
Love Songs from an Android,"8,1",,Sol Friedman,Sol Friedman,,10min
The Price of Air,,,Yonatan K. Mallinger,Margaret SmithCurtis EndicottYonatan K. Mallinger,"A young pirate radio DJ, in 1981, deals with an opportunity to work for a major radio station, as his friends feel that he is about to 'sell out.'",15min
The King of Size,,,,,"A documentary portrait of a 40-year old bodybuilder's 17-year, injury-plagued quest to reclaim his title as 'Mr. New York.'",18min
The Dope Men Gotta Get Paid,"8,0",,Sven Jurshevski,Emerson CassadaySven JurshevskiBrad Wolfstadt,A drug-dealing duo stands in the centre of a chain of debt. The trail begins with their worst customer and goes all the way up to their hysterical employer; all ending in a blood-soaked resolution.,12min
Insurgency,,,Mathew CrispJonathan Moore,Mathew Crisp,"In the skies above a bleak, post-apocalyptic vision of North Greenwich, London, A giant space craft looms. It's been twenty five years since they invaded, enslaving and occupying the population. Insurgency follows a small band of rebels known as The Insurgency, who operate underground, constrained to their secret bases, and their efforts to spark an uprising.",20min
"Bunny, Getting to Know Dad",,,Tatiana Skorlupkina,Tatiana Skorlupkina,"A little girl thinks she knows everything about her dad; however, one day she finds the key to her father's secret room, and finds out who he really is.",15min
Somnius,,,Denver Jackson,Alain Williams,"A science fiction film about a young, space faring monk who is put to the test when he is attacked by a group of bandits bent on hijacking his ship. Forced to take defensive action, the monk must use the unique, world simulating abilities of his vessel, Somnius, as well as his mastery over the martial arts, to thwart his aggressors.",30min
The DAM,,80%,,,,23min
Spoils of War: Battle of Monte Cassino,,,Thomas Sainsbury,Josh HoweLouis Mendiola,"Italy, 1944, World War II. A Kiwi Captain, an American Private and their wounded Italian ally are surrounded in an isolated cellar in Monte Cassino. Clinging onto their last moments, the soldiers face tough decisions as their imminent end approaches.",8min
A God of Sinners,"7,1",,Tagore Almeida,Tagore Almeida,"Four lads on a Friday night - time to meet chicks, time to get wasted. Growing up isn't on the agenda, or so they think.",20min
Frienemies,,,Doug Duke,Doug Duke,"Four friends Mike, Shane, Diego and Matt plan to pull a kidnapping prank on Steve. Not everything goes as planned.",11min
Menino do Cinco,"5,5",,Marcelo Matos de OliveiraWallace Nogueira,Marcelo Matos de OliveiraWallace Nogueira,"Richard finally finds a friend, but he can't be of his own.",20min
Cue,"8,0",,James Warren,James Warren,"Five con artists who owe £500,000 to a mafia head are given a chance to clear their debt by playing a snooker match.",43min
Zombie Crush: A Teenage Zomedy,"8,8",,Tendal MannLawayne Bontrager,Lawayne Bontrager,"The story of 13 year-old Bobby, who wakes from a coma to find the world filled with Zombies - specifically, open-armed walking teen Zombies - with no adults to be seen. In this coming of age, bloody, PG comedy-romance, Bobby teams up with Sara and learns that Zombies are not what he has always imagined them to be. He is now forced to grow up and become a man. Bobby vi... Leer todo",29min
Clowning Around,"6,7",,Damien Cullen,Damien Cullen,"There was a time when Bonzo was the best clown in town. However, after being undermined by his rival Mr. Fernelli, Bonzo finds himself on a downward spiral of alcoholism. After receiving a message from 'Clowns UK' (the governing body for clowns) that they are reviewing his clowning license, Bonzo decides this may be his last chance to prove to himself, the authorities... Leer todo",15min
Scent of a Slade,,,Christopher Mozdzen,Christopher Mozdzen,,15min
Niagara's Fury,,,,,,27min
Boys from County Hell,"7,6",83%,Chris Baugh,Chris BaughBrendan Mullin,"A group of workmen, among them a conflicted father and son, undertake a job in a forbidding, barren landscape only to be stalked by a bloodthirsty assailant that resides there. As darkness closes in it's up to them to use all of their wits, resources and power tools to try and survive the night.",17min
To the East of Town,,,Nathan Crenshaw,Nathan Crenshaw,,14min
Paper People,"6,6",,Andrew Boodhoo Kightlinger,Andrew Boodhoo KightlingerSteven Luke,"The lives of a suicidal U.S. Marine, a single mother and her precocious daughter collide with incendiary results.",16min
Charm City Rumpus,,,Dennis Boni,Jimmy Monack,"When the city of Baltimore doesn't live up to its nickname of Charm City, eleven-year-old Billie the Detective snaps into action.",14min
Wunderland,"5,7",5%,Andrew Boodhoo Kightlinger,Steven Luke,"Set in WWII during the Battle of The Bulge, 'Wunderland,' follows a squad of US soldiers and their dedicated officer as they fend off the brutal onslaught of German attackers.",5min
The Briefcase,,,Tazito Garcia,Tazito Garcia,"An unsuspecting man becomes involved in a drug lords game, and must play by the rules to save his girlfriend.",38min
Boy in the Void,,,Miroslav Macala,Miroslav Macala,"A proud boy opens the door to a masculine world of a hardcore Brooklyn gym and quickly learns that the image he has of himself is seen much differently by his friend and the gym owner. In his ensuing quest for manhood, the boy uncovers a side of himself that has never been revealed before. This story is inspired by real events.",7min
Valley of the Brunn,,,Paul F. BarnardNicole Humphrey,Paul F. BarnardJoseph Laston,,30min
Pyramid of Doom,,,Jakob Thomsen,Christian SchüllerJakob Thomsen,"Dr. Broon and his Minion seek The Artifact located in the Pyramid of Doom so they can finally destroy 'the world as we know it' - again. Of course, someone has to stop them. Some heroes. Or Alice, Bob & Charlie. Whatever. Anyway, the most important thing to keep in mind is - just make sure, you don't disturb things.",15min
The Boxer,"8,7",81%,Max Lowenbein,Nick Dearman,,8min
Bad Guys Forever,,,David Simonetti,David Simonetti,"Two men who share a past, at odds over the fate of a woman. One will make a choice, the other already has. One a lawman, the other a criminal but the question is, who is the bad guy?",22min
Summer's Babes,"5,4",,Marzia Ciacci,Marzia Ciacci,"In the gritty and groovy Los Angeles of the 70's, three women react to physical and mental abuse in their own personal way.",22min
L'Esplanade,,,Evander Reeves,Evander Reeves,,6min
Beyond Reach,,,,,,3min
This Is Our Secret Movie,,,Kalechi Noel,Kalechi Noel,"Deep in the woods, a young couple seeks peace, tranquility and the presence of each others company in their favorite secret hiding spot. One day things take an unexpected turn for the worse when two unwelcome guests appear. Their paradise will soon turn into a fight for survival in this suspenseful thriller. 'This Is Our Secret' Movie. Starring Susie Duecker & Zene Co... Leer todo",18min
Alchemy,"7,4",,Winston A. Abalos,Winston A. Abalos,Sometimes the search leads us away from the treasure we seek.,7min
You Are a Terrorist,"6,8",,Antoni Solé,Antoni Solé,"Elizabeth Meyer is a captain of the U.S. Army, and a recent vet of the war in Afghanistan. She kidnaps one of the highest ranks in Middle East affairs, and tries to have him confess the involvement of the U.S. government in a series of attacks for which terrorist groups are wrongly accused of. But the confession takes an unexpected twist, and Elizabeth finds herself i... Leer todo",12min
A Still Drift,,,C.M. Pelzer,Scott FortnerWill JoelC.M. Pelzer,,10min
The Big Leap,"6,7",,Kristoffer Rus,Kristoffer Rus,"Three people meet at the top of a skyscraper. They have the same intention - to commit suicide due to a major financial crisis. The conflict quickly deepens when they discover that they all represent a different conviction about the hereafter: Sarah is the believer, John the atheist and Ben uncertain agnostic. The only way to find out who's right is to take The Big Le... Leer todo",13min
A Bride Comes to Yellow Sky,,,Frank G. Amsden,Frank G. AmsdenVicky Holmes,"Jack Potter is the Marshal of Yellow Sky, Texas. He journeys home from San Antonio with his new bride. In the meantime, the town ne'er do well has gotten drunk and is shooting up the town. Who will triumph and how?",30min
Secondary Education,"8,1",,Jon Truei,Jon TrueiMax Parr,"Three high school students are forced to make up a failed chemistry test during after school detention. Over the course of the afternoon, they discover that their eccentric Chemistry teacher, Eugene Yamamoto, has been leading a secret double life as a costumed crime-fighting Power Ranger. When a mutant lobster that Yamamoto left in the hands of the police escapes and ... Leer todo",12min
Snap,,,Wilke ItzinGeoff MastroMatt McGee,Wilke Itzin,,12min
Bad Ass Bikers,"7,7",,Nate Adams,Nate Adams,"This is an action short film with fantastic comedy elements -- An aging MMA fighter is being forced to take a dive in a cage fight by a tough Biker Gang. A spectacular high speed cage fight ensues, complete with an amazing fight amongst the crowd. In the end a great comedy twist reveals the Bikers are not so... Bad Ass.",8min
The Root of All Evil,"7,8",,Nick Leisure,Nick Leisure,"Upon the gust of an ill wind, a dollar travels down an evil path. Is this really the root of the evil?",13min
The Golden Ticket,"7,6",,Patrick Hagarty,Patrick Hagarty,"Bradley Moore is having a BAD day. He gets dumped, evicted and fired all before lunch. But when a stranger offers Brad a Golden Ticket, allowing him act without consequence for the remainder of the day, things take a turn...",10min
We Are Balance,,,Claude Miles,Claude Miles,,
Life Life in in Space Space,"7,5",,Tyson PersallTyson Wheeler Persall,,"Life Life in in Space Space is a concept TV show/short film that is about fanciful characters in space working together and getting along despite radical differences. It centers on the themes of tolerance and 'don't judge a book by its cover'. Some people have said, 'It's like Space Balls for the 90's'. The truth is, political correctness on a space ship, an isolated ... Leer todo",14min
The Chronicles of Elijah Sincere,,,Dan CurryKelly Brown,Valentine Whittaker,,19min
Why We Climb,,,Chris Cresci,,,13min
Heartburn,,45%,Julian Chojnacki,Racheal Seymour,"America has five branches of the military... Sixteen different intelligence agencies... A thousand elite police forces... And one woman keeps them all in line! HEARTBURN While investigating the disappearance of an US Marine recruit at a top secret SERE (Survival, Evasion, Resistance & Escape) training site, AVRIL HEART, an undercover Department of Homeland Security ag... Leer todo",15min
Black Ops II Zombies in Real Life,"6,5",,Bryan McAdams,Bryan McAdams,A parody on Black Ops 2 zombie multi-player.,13min
Minotaur,"8,4",20%,Javier Grillo-Marxuach,Javier Grillo-Marxuach,"A hard-boiled detective, on the trail of a missing 8-year-old girl, must infiltrate an underground club catering to the vilest desires of a very select clientele.",15min
No Horizon,"7,0",,Keenan Mock,Keenan MockHunter MarkhamSeth Craven,"After a jailbreak on an interplanetary POW transport ship, a prison guard loyal to his culture an commander is shown the true nature of his lifelong enemy. Coming face-to-face with a captain leaves him questioning everything he has been taught. Should he continue to blindly follow the rhetoric of his society or finally make his own decisions.",16min
El Hijo Del Sur,,,José Menéndez,José Menéndez,"El Hijo Del Sur, a Mexican wrestler who fights in the ring and cooks out of it decides to go to New York City in order to protect his cousins. Without knowing, he gets the chance to become something he could only dream about. This story full of action, twists, Mexican humor and folklore seeks to explore a fresh vision of what is called the mythical Cine De Luchadores ... Leer todo",29min
Synarchy: The Awakening,,,Aaron L. Williams,Crystal StormAaron L. WilliamsTenesha Williams,"In his lifetime Stefano Terenzio had a merciless ambition for absolute power. A generation later, what started with one man's ego will determine the fate of the whole word. For centuries a secret organization that has been controlling world governments and religion since the dawn of man, known as The Roshaniya. They have lied, sacrificed man by the thousands, and mani... Leer todo",10min
Requital,,,Joe Callahan,Joe CallahanDallas Holbeck,,18min
Alton Crossing,,,Cale Mitchell,Cale Mitchell,,10min
Siszilla,,,Eric J. Nelson,Eric J. Nelson,A young boy must use his imagination to soothe a savage beast -- his own sister.,3min
Sad Bastard Hero,,,Mike Cuenca,Mike CuencaAshlee Elfman,A rookie cop is the sole person with free will in a world where peace has eradicated all violence.,8min
Island,,,,,,8min
Echo,"8,2",100%,Djordje Djokovic,Djordje Djokovic,One love. Two soul mates. Three lifetimes. Time eternal.,28min
Target Date,,,Ben Hlavaty,Laurie CummingsBen HlavatyPaul Lister,,8min
By Hook or by Crook,,,Will Webb,Aran Bruce-CaddickWill Webb,,8min
Der Schrottmann,"8,0",,Fabian Driehorst,Fabian Driehorst,Three children are playing secretly on the Scrapmans ground and find something much more exciting than they ever expected: movies where they can be part of.,10min
The Ladder,"7,9",,Pete Fitz,Pete Fitz,"A teenage boy, teeming with hormones, must carry a ten-foot ladder across town to reach his young love's bedroom window.",7min
Death of the Bar-T,,,Anson Fogel,Anson Fogel,,17min
The Gold Sparrow,"7,4",,Daniel Stessen,Daniel Stessen,"Set in a crumbling black-and-white futuristic metropolis, void of creativity and color, the city is traversed by The Gold Sparrow and her nefarious side kick, The Ring Leader. Together they scour the gray-scale streets, stealing the color from anyone daring enough to bring art back into their bleak world. Our heroes, The Strongman, The Fool, and The Monk, perform in t... Leer todo",13min
Hit Girls,"7,6",,Adrian CastroMaria Tran,Maria Tran,"Two assassins, one target, no escape.",18min
Grasshopper!,"8,0",55%,Ryan RoyMichael Usry,Ryan Roy,An average suburban housewife tries to stop her neighbor from going on a rampage after he witnesses a gruesome attack.,15min
The Korean Girl,"8,8",,Zef Cota,Zef Cota,When a Korean national gets kidnapped - who in the world will come to her rescue?,16min
Fort Apache,"6,3",100%,Addison Mehr,Alan HeathcockAddison Mehr,"In 1940s America, a precocious young boy struggles to escape small town life. On the eve of his eleventh birthday he must choose between leaving home or following his brother down a path of violence and destruction in this coming of age story.",15min
Speed Demon,,44%,Paul Miller,Paul Miller,,13min
The Flying Lesson,"8,2",,Phil Hawkins,Ian BishopPhil Hawkins,A woman with a promise to keep takes a flying lesson in the WWII bi-plane her recently deceased grandfather flew in the war.,15min
Historias Breves VII: En carne viva,"8,0",,Federico Esquerro,Federico Esquerro,An actor's journey playing an assassin on the set of a film that takes place in a Buenos Aires' butcher shop.,18min
Little Man of Steel,"6,9",,Larry Ziegelman,Colin CostelloLarry Ziegelman,Lois and Clark go on their next great adventure - condom-shopping.,10min
The Mission,,,Nate Watkin,Eric DelgadoNate Watkin,Two guys. On a mission. Things get loco.,10min
Young Guns,,43%,Haran Sivakumar,Haran Sivakumar,"When the nursing home's popular clique of grannies kidnaps her best friend Grace, Nancy assembles an army of seniors armed with unusual weapons to set out on a rescue mission.",6min
As Mortes de Lucana,,,Alceu Bett,Fernando Karl,"Stories permeated with poetry and literature tell the relationship between love, death and philosophy in the mind and soul of Lucana, experienced by Portuguese Paula Pinto. In a work of short duration, the anguish of the characters intertwine between reality and madness. The Deaths of Lucana constructs a subjective environment, replete with metaphorical significance s... Leer todo",20min
Times Up,,,Michael Merino,Michael Merino,An interrogator gets more than he bargained for when he attempts to question a woman suspected of terrorist activities.,8min
Unfollowed,"8,4",,Chase Walker,,,6min
Caught,"9,1",,Bruce X. Li,Bruce X. LiMichael Piel,A middle school contraband dealer among students must pull off one last job to win the girl he loves and redeem his past.,20min
"The Woman: Chapter One - Ice Cream, Run",,,Stefón L.C.(attached),Stefón L.C.,A bored hit woman seeks entertainment and ice cream on a Saturday night.,26min
Late Night Coffee,,,Christian Hawx,Christian Hawx,,5min
Sebring in 12,,,Jason B. Bergh,,"The ultimate David Goliath story, follow a small race team as they go up against major factory teams. This unique look into a race team is very rare, Pickett Racing let the film crew through the doors holding nothing back.",
The Hunt,"6,3",,Spencer Estabrooks,Colette JeffsGreg Jeffs,A father son hunting trip... what could go wrong?,8min
Cannot Be Defied,,,John McSween,Benjamin DunnJohn McSween,,8min
The Rein of Mary King,,,Lucy Walker,,,10min
The Apocalypse,"6,4",,Andrew Zuchero,Andrew Zuchero,4 uninspired friends try to come up with a terrific idea of how to spend their Saturday afternoon. The Apocalypse.,5min
Revolver,"8,4",,Adam Hirsch,Adam Hirsch,Two newlyweds encounter trouble at a small hotel in Southern California.,15min
Keshigomuya,"1,9",,Ken Ochiai,Ken OchiaiNir Studnitski,"The wife of a wealthy man hires memory erasing agents to erase the memory of the young lover with whom he is having an affair, but soon realizes that the young lover will stop at nothing to keep the man's love for her alive.",16min
The Target,,,Wes Williams II,Wes Williams II,In the criminal underworld an assassin is one of the most revered and short lived career. But for some its natural. The Target is a story about an assassin who will stop at nothing to become legend.,9min
Defusion 2,,,Aeneas Middleton,Aeneas Middleton,"A new psychological terrorist inspired by Hitler, takes matters into his own hands in Washington D.C., giving a NYPD cop another ultimatum.",
Heart of the Dragon,"8,3",61%,Jeff McDonald,Shin KoyamadaJeff McDonaldJames E. West II,"Episode One of a martial arts/thriller web-series. John Watanabe (Shin Koyamada) is hired by a very wealthy and mysterious beauty, Marta Williams, to serve as her personal bodyguard. John soon discovers that Marta has a secret. She is pregnant with a supernatural child giving her extraordinary abilities and that he and his client are connected to ancient prophecies. N... Leer todo",7min
John Stewart: Rise of the New Lantern,,,Jim Ewing,Richard Baderinwa,,9min
'_____' (Insert Superhero Name Here),,,Kevin Shah,Paul DeckerKevin Shah,,5min
Counter Measure,"7,4",,Jason Satterlund,Dennis HillAris JusonJason Satterlund,"Two men, locked in a mysterious house, fight for the hand of one woman.",17min
2D,,,Jordan Fountain,Jordan Fountain,"When a janitor accidentally encounters a two-dimensional character, he embarks on an adventure.",6min
Mirror,,40%,Morgana McKenzie,Morgana McKenzie,,20min
Marked Man: The Prologue,,,Chris Carson Emmons,Gregory Sherad Martin,,9min
The Running Dead,"5,6",,Neylan Bright,Neylan Bright,"The 'Running Dead', inspired by the AMC TV show, The Walking Dead, tells the story of months and years that come after a zombie apocalypse. It follows a group of survivors who travel in search of shelter and safety from this new and dangerous world they now live in. This video will explore the challenges of life in a world overrun by zombies who take a toll on the sur... Leer todo",33min
Marshall County,,,Nathan Brunskill,Nathan BrunskillLiska Ostojic,,7min
Malaria,"7,7",,Edson Oda,Edson Oda,"Cuenta la historia de Fabiano, un joven mercenario que es contratado para asesinar a Death. El corto combina origami, kirigami, el imaginario del western y los cómics.",6min
Bloody Night,"8,3",,Hakan Yildiz,Hakan Yildiz,"A group of college students want to have fun during their winter break. They decide to travel to Budapest, Hungary - but it was the wrong idea.",15min
The Hardest Six,"7,2",,Martin Whittier,Martin Whittier,"Matthew's (Charlie Dreizen) life is over. He has been sent to live with his grandparents in a small town, and leave his city life behind. He doesn't want anything to do with this new life, but with the help of his cousin Frank (Brian Chenworth) and a push from his family, he is thrown into a new world - high school wrestling - and begins a season of sweat, hard work, ... Leer todo",32min
Honey in the Moon,,,Peter Musooli,Ryan LacenPeter Musooli,,9min
Pickaxe,"8,2",,Erik Reese,Joshua NitschkeErik Reese,,7min
Sonic,"4,4",89%,Eddie Lebron,Eddie LebronYuji Naka(sin acreditar)Naoto Ohshima(sin acreditar),"The evil Dr. Robotnik takes over the planet Mobius, and it is up to Sonic the Hedgehog to put a stop to his evil plans.",18min
Panda Run,,,Gary TangDexter Vinant-TangPatricia Vinant-Tang,Gary TangBayard Vinant-TangDexter Vinant-Tang,Panda bears are hunted by poachers.,5min
The Water Is Always Bluer...,,,,,,4min
The Hunt: The First Kill,,,,,"With any means necessary try to survive. Weapons are scattered across a forest and only 2 remaining survivors of the ""24 Hour Killing Spree"" remain. This is the final Hunt.",
Skyrim: Shattered Shield,"6,6",,Daniel Kim,,A young shield maiden is out to seek revenge for the death of her thane.,5min
Judge Minty,"7,2",,Steven Sterlacchini,Michael CarrollSteven Sterlacchini,"An aging judge becomes empathic and decides to retire. By law, every judge that opts for retirement receives full honors and must leave Mega-City One to find a good death in the wastelands ruled by savage gangs, beasts and anarchy.",27min
The Boss: Head Count,,,Sam Macaroni,Sam Macaroni,,
Fight,,,Carlitos Do Souto,Carlitos Do Souto,,Approved
Downsize Games,,,Jeremy KaneCheryl Meyer,Cheryl Meyer,,6min
Gotta Lighten Up,,,Logen Christopher,Logen Christopher,Two thugs over think the consequences of their actions.,10min
Red Down Failure,"8,5",,Ahmet Salih Özkul,,A hit man tracks down his target.,10min
Razed,"9,4",,Dean Alexandrou,Dean Alexandrou,,4min
7x6x2,,,Paul PopeSridhar Reddy,Paul PopeSridhar Reddy,"In a remote desert on an unspecified planet, a large terraforming robot - called a MEK- has gone down. A lone serviceman has been sent out into the hostile, unforgiving location to repair the machine, only to find that he is not alone.",12min
Deer Valya,,,Jalil Rizvanov,Jalil Rizvanov,,7min
The Exterminator,,,Nicholas Rodriguez,Jesus RamirezNicholas Rodriguez,,7min
Uncharted: Drake's Legacy,"4,6",,Tyler Hickman,Tyler HickmanBrennan Scott,"Nate Drake (Nate Loftin) is on the hunt for the Jade Elephant of Confucius, on the trail of where the Nazi's dumped the relic after WW2 ended. Looking for the elephant, he works with Elena (Ashley Castro), trying to stay one step ahead of The Black Sun, a secret Aryan organization after the elephant for more than monetary reasons!",8min
The Program,,62%,,,,20min
De zure inval,,,Jonathan J. Smit,Herb AlfonsoJonathan J. Smit,"Melv is trapped in his own life. When he decides to rob the house of known gangster, he is confronted with his own fears. He has to risk everything in order to make the most important change in his life.",19min
World Invasion Battle Bologna,"7,1",,Alessandro Orefice,Alessandro Orefice,,20min
Akhirah: The Day of Judgement,,,Will Myrick,Will Myrick,Hakim goes about his day answering mysterious phone calls in Arabic mentioning plans about taking care of the President of the United States. Hakim and Kal wait in a downtown high rise with a sniper rifle as the President arrives for a fund-raiser.,10min
Skymall 007,,,Hamid AssianClark Coffey,Hamid AssianClark Coffey,,10min
Partisan,,58%,Jake Holm,Lucas 'Meir' GerberJake Holm,"In 1942, Poland, a young Jewish girl escapes a Nazi raid to join a partisan group in the forest and lead a personal, revenge mission against the Nazi collaborator who ratted out her family. As Bella matures from a lost, frightened girl to a fierce guerrilla fighter, she adapts to the new life she is thrust into without a proper transition into womanhood. Will Bella be... Leer todo",18min
Bike thief,,,Mussa Abdalla,Mussa Abdalla,,3min
The Hitman and the Cleaner,,,Dino Dumandan,John CruzDino Dumandan,"From the dirty underbelly of the underworld, two longtime, co-working hitmen rendezvous before their next job. They recall jobs of old and bicker at each other on how to be a professional.",14min
The Trap,,,Rio Fitch,Rio Fitch,,5min
Deserted,"7,2",25%,Yoav Hornung,Yoav Hornung,Two (female) soldiers are alone in the Israeli desert as a part of their final Officers' school Exam - A land navigation. Things are getting complicated when one of them can't find her weapon.,25min
Ghost Trigger,,,Richard Lee Warren,Richard Lee Warren,,11min
245,,,John Wusah,John Wusah,"Officers Bryan Lee (John Wusah) and James Canaan (Michael Sorensen) are called in for ""Disturbing the peace"". They quickly walk into a situation that ended up disturbing their peace.",3min
Postcard,,54%,George Oliver,Elliott Stiles,,
Kruh,,,Stanka Gjuric,Stanka Gjuric,The unusual life of one loaf of bread.,7min
The Cage,,,Sanyog Mohite,Sanyog Mohite,,2min
Taser,"6,1",,Matt Bird,Matt Bird,"With 50,000 volts aimed at his back, Eddie wonders how it all came to this.",7min
Claustrum,,,Christopher James Cramer,Christopher James Cramer,,6min
Jump Masters,,,Joseph Edwards,,,12min
The Sun Does Not Exist,,,Adrià Ginger,Adrià Ginger,"At her birthday, sensible but gullible Julita is expecting her insensitive boyfriend Adria to propose but instead he breaks up with her, sending her mind in a surreal trip of hurtful denial.",11min
Kane,"7,0",,Michael Williams,Michael Williams,"After losing what meant most to him, the man behind the masked hero KANE has to make a decision that could change the fate of his city forever.",25min
Bond,,,Helen Wright,Helen Wright,,10min
Sapphire Strange,"7,7",,Justin Calen-Chenn,Justin Calen-ChennDave Shermen,"SAPPHIRE STRANGE was, at one time, the weakest sorceress of her generation, a meek withdrawn girl who was often mocked because of her futility with spells and magic. But now, years later, after a rival sorceress learns that Sapphire is now more powerful then her, a confrontation looms.",9min
Foul Play,,,,,,10min
The Higher Power Revenge of a Menace,,,Jake UfferXander GivensTaco Jones,Taco JonesJake Uffer,,19min
Black Wolf,,,Ryan Fitzmartin,Ryan FitzmartinTracy Lamont,,3min
Six,,,Bahaa el Gamal,Atef Nashed,"A gramophone breaks the silence, they are getting dressed up to receive friends. She is searching for a butterfly necklace, she finds a gun and then everything starts.",19min
Dirty Money,"8,5",,Steve Rahaman,Steve Rahaman,"3 Months after a bank robbery, Ethan has lost his share. A visit to James, begins a night of murder and friendship.",26min
Gutted,,,Lex de Groot,Byron GibsonLex de Groot,Jamey took revenge on the organ trading organization that was responsible for killing his newly wed wife by taking out the perpetrators one by one. Now he is awaiting his execution on death row and being given his last rights by a priest.,13min
Literally Thinking,,,Devin KlinkSkyler Trobaugh,Devin KlinkSkyler Trobaugh,,3min
School Night,,,Grant Swanson,Grant Swanson,,12min
Last Call,"6,8",,Camille Delamarre,Camille DelamarreCécile LarripaPhilippe Pinel,"He hears the 'click'. Lowers his head. Damn. He is standing on a mine. If he moves, it will explode. How will he get through this ? He doesn't have much time left... He hesitates. Waits. He's exhausted. It's time for the last call. He dials a number into his mobile phone, hoping to hear a little voice. That voice, at this precise moment in time, seems to be the most p... Leer todo",13min
Dogfight,"5,3",83%,Emmanuel Manzanares,,,6min
Knock Knock,,25%,Chadwick Whitehead,Chadwick Whitehead,,2min
Mario Vs Luigi,,,A. Palumbo,,,2min
True Reprisal,,,Brandyn T. Williams,Brandyn T. Williams,"A man's wish comes true when he is locked in a room with his wife's assailant by an unknown force. To his great surprise, the coward he was expecting is much more powerful than he thought, and now his attempt of revenge turns into a battle for his life.",10min
Genome,,,Luke Snailham,Luke Snailham,"Genome is a short film set in a world where superpowers can be purchased. Andrew is a warehouse supervisor in charge of training new employees. For years, he has carried around a hatred for all people with abilities after his wife was killed in an accident caused by a teen learning to use his superpower. Now Andrew must face his prejudice as he is forced to train a ne... Leer todo",14min
R.U.R.: Genesis,"5,3",,James Kerwin,Karel CapekAndrew DeutschJames Kerwin,"Set in the style of a sexy, alt-history 1969, this adaptation depicts a world populated by genetically engineered workers (""artificials"") -- perfect, made-to-order people who lack fundamental rights.",7min
Ukrainian Lessons,"6,9",,Ruslan Batytskyi,Ruslan BatytskyiOlha Voitenko,"The appearance of a young teacher shakes a degraded mining town from its sleepy trance. When the sparks of feeling ignite between her and a young miner, the local youths, battered by the violence all around them, respond with animal aggression and rage. In the fight against otherness, evil takes on magnificent, baroque forms",31min
Feed B: The Making of Feed A,,,Clarke Mayer,,A behind the scenes documentary on the making of a Science Fiction action film.,15min
Worst Case Scenario,"7,7",,Donovan Alonso-Garcia,Donovan Alonso-Garcia,"Total blackout for Carole this morning. She wakes up in the middle of an entirely empty run down church.She is propelled in a strange situation, surrounded by strangers and later finds herself handcuffed by force to another stranger: Fayssal. Carole is about to live the worst day of her life. One of these days when the entire universe seems to hold it against you, wha... Leer todo",24min
Wild Horses,"7,1",,Stephanie Martin,Stephanie MartinJessica Walsh,They captured her heart. She captured their story,17min
The Fly Olympics,,,,,,2min
The Job,"9,2",,Gerry Shanahan,Gerry Shanahan,,10min
The Cookie Crumbles,,,Sam Longley,Sam Longley,,11min
Sirens,"4,5",,Jason BallantyneDanny Torres,Jason BallantyneToby Joynt,In the Zombie Apocalypse there is something more dangerous than the undead.,14min
G.I. Faux,,,Mark Baird,Zulema Nall,Boys vs. Girls in Nerf war action.,4min
Caterpillar Has Wings,,,Ayananshu Banerjee,Ayananshu Banerjee,,17min
Are We Apart,,,Viktor Enoksen,,,
Devil's Night,,,Mandip Sandhu,Mandip Sandhu,,31min
Broken Knuckles,,,Justin Burquist,Justin Burquist,A noir action thriller about an amateur MMA fighter who is quickly and unknowingly thrust into the world of a criminal organization.,28min
Beginners Luck,"5,4",,Matthew Richards,Matthew Richards,"Dwarfed by the dusty wheat fields of a remote farm, two mischievous boys barrel down the dirt driveway with a sticky accelerator, leaving a trail of destruction as they head towards the farmhouse where an unsuspecting Dad bakes a birthday cake. Furiously giving chase in a giant tractor is Mum. In less than 8 minutes it will all be over.",8min
Anantah,,,Kabir Mehta,Kabir Mehta,,16min
OstrichLand,"8,0",,David McCracken,David Haskell,A poignant comedy about two estranged brothers who drive across the country in a truck full of their dead dad's UFO memorabilia.,15min
Divulgence,,,Joseph Torrez,Joseph Torrez,A former Cartel Leader pegs a suburb poster couple as assassins responsible for the death of his family.,43min
Double Agent,"4,7",,Jason Sotolongo,Ashley Scott MeyersJ.P. PierceMichael Santorico,DOUBLE AGENT is an action thriller about a super spy who spends his final few moments gagged and bound in the back of a truck trying to remember how he was captured and who he really is.,7min
Fusilier,"7,2",,Callum Burn,Andrew BurnCallum Burn,"Dunkirk, France 1940. Against impossible odds, four Lancashire Fusiliers must defend the beaches from the advancing German army, in the knowledge that they will not make it home.",24min
