Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
"Surprise, Surprise","5,1",,Jerry Turner,Travis Michael HolderJerry Turner,"A closeted TV star and his recently disabled, much younger lover find the older man has a troubled, streetwise, 15-year-old homophobic son he never knew existed to add to their already strained household.",1h 23min
Please Give,"6,6",86%,Nicole Holofcener,Nicole Holofcener,"En la ciudad de Nueva York, un marido y su mujer se enfrentan con las nietas de la anciana que vive en el apartamento que posee la pareja.",1h 27min
Eat Pray Love,"5,8",35%,Ryan Murphy,Ryan MurphyJennifer SaltElizabeth Gilbert,"""Una mujer casada se da cuenta de lo infeliz que es realmente su matrimonio, y de que su vida tiene que ir en una dirección diferente. Después de un doloroso divorcio, ella emprende un viaje alrededor del mundo para """"encontrarse a sí misma"""".""",2h 13min
Repo,"3,7",78%,Benjamin Gourley,Benjamin Gourley,"Leon and TJ are best friends and repo men. After ten years, with a high school reunion looming, Leon wants out of the repo business. TJ has concocted a hair-brained scheme to steal all the cars they've repoed. When the plan fails, it falls to Leon to save TJ from his own plan.",1h 37min
Kavod,"5,4",,Haim Bouzaglo,Haim Bouzaglo,Two Maroccon organized crime families suffer the tragedies of their respective lives.,1h 58min
The Switch,"6,1",,Josh GordonWill Speck,Jeffrey EugenidesAllan Loeb,"Siete años después del hecho, un hombre se da cuenta de que él fue el donante de esperma para el hijo de su mejor amigo.",1h 41min
Letters to Juliet,"6,5",42%,Gary Winick,Jose RiveraTim Sullivan,"Sophie sueña con convertirse en escritora. Viaja a Verona, donde descubre una plaza en la que la gente deja cartas de amor no correspondido.",1h 45min
The Whistleblower,"7,1",76%,Larysa Kondracki,Larysa KondrackiEilis Kirwan,"Basada en las experiencias de Kathryn Bolkovac, una policía de Nebraska que sirvió como oficial de paz en la posguerra de Bosnia y denunció públicamente a Naciones Unidas por encubrir un escándalo de tráfico sexual.",1h 52min
Don't Fade Away,"4,9",31%,Luke Kasdan,Luke Kasdan,A troubled music manager on the edge returns from Los Angeles to North Carolina to care for his sick father.,1h 29min
Acts of Violence,"6,2",,Il Lim,Il Lim,"Flyn tiene la misión de matar a los hombres que violaron a su esposa Olivia. Él llevará una doble vida como asesino y como marido. Mientras lleva a cabo su venganza, le surgirá un amigo inesperado, un sacerdote, quien se preocupará de él.",R
Eager to Die,"5,7",,Michael Mandell,Michael Mandell,A futuristic thriller about a politically incorrect television personality who is forced to change his identity after several death attempts by his government.,1h 49min
Proie,"5,2",,Antoine Blossier,Antoine BlossierErich Vogel,"PREY tells the story of Nathan (BEAU TRAVAIL'S Gregoire Colin) who is at a countryside retreat for a Fall family reunion that he expects to be particularly stormy. Claire, his wife, has to announce her pregnancy and there are tough decisions that need to be made to prevent the family's pesticides business from closing down. But on the first night that the family gathe... Leer todo",1h 30min
Unthinkable,"7,0",66%,Gregor Jordan,Peter Woodward,"Una importante amenaza surge para los Estados Unidos cuando tres dispositivos nucleares están controlados por un único terrorista. Dos días antes de que se activen, dos agentes del FBI tendrán que decidir hasta dónde están dispuestos a llegar para encontrarlos.",1h 37min
De gelukkige huisvrouw,"6,7",59%,Antoinette Beumer,Marnie BlokKarin van Holst PellekaanHeleen van Royen,"After giving birth to her first child, a happily-married woman sees her picture-perfect life spiral out of control.",1h 40min
Truth About Kerry,"5,0",33%,Katie Torpey,Shaun O'SullivanKatie Torpey,"A young American woman is found dead on a beach in Ireland under mysterious circumstances. Her best friend, refusing to believe it was an accident, travels to the remote fishing village to investigate what really happened to her.",1h 24min
"Glenn, the Flying Robot","3,7",36%,Marc Goldstein,Marc Goldstein,Synopsis Henry and Jack are two famous and talented pianists: they are rivals and try to outdo each other in the various music events where they regularly compete. They have known each other since their days at the music academy and developed a very strong friendship. They met Lana there and Jack had an affair with her then. This friendship deteriorated along the year... Leer todo,1h 25min
The Waiter,"4,4",,Jason Konopisos-Alvarez,Jason Konopisos-Alvarez,A man travels through corporate corruption and his own sin to find his soul.,1h 32min
Rabbit Hole,"7,0",87%,John Cameron Mitchell,David Lindsay-Abaire,"La historia sigue a un matrimonio que está tratando de superar la muerte de su hijo de cuatro años, fallecido en un accidente automovilístico. Adaptación a la gran pantalla de la novela 'Abaire', de David Lindsay, ganadora del Premio Pulitzer en categoría de drama.",1h 31min
White Knuckles,"6,4",,Kevin K. Shah,Kevin K. Shah,"A sweet career housewife has been married to the same crotchety man for 40 years and she just can't take another day of it. She starts to poison his food - just to see if he might change. When he falls gravely ill, both are awakened to the raw reality of a life or death choice.",1h 28min
Green Zone,"6,8",,Paul Greengrass,Brian HelgelandRajiv Chandrasekaran,Un oficial del ejército estadounidense asignado a buscar armas de destrucción masiva en una región inestable entra en clandestinidad tras recibir información errónea.,1h 55min
Black Swan,"8,0",83%,Darren Aronofsky,Mark HeymanAndres HeinzJohn J. McLaughlin,"Una bailarina comprometida obtiene el papel principal en una producción de el Lago de los Cisnes de Tchaikovsky, lo cual pondrá a prueba su cordura.",1h 48min
The Killer Inside Me,"6,1",56%,Michael Winterbottom,John CurranJim Thompson,Un ayudante de sheriff del oeste de Texas se revela poco a poco como un asesino psicótico.,1h 49min
Robin Hood,"6,6",,Ridley Scott,Brian HelgelandEthan ReiffCyrus Voris,"En la Inglaterra del siglo XII, Robin y su banda se enfrentan a la corrupción en su localidad y lideran una rebelión contra la corona que cambiará el equilibrio de poder para siempre.",2h 20min
Heart of Now,"7,2",,Zak Forsman,Zak Forsman,"""Heart of Now"" concerns a young woman with a profound longing for a sense of family. Devastated by her boyfriend's sudden withdrawal from their relationship, she is whisked across a contrast of urban, natural and emotional landscapes. She confronts the deeper issues at the very heart of her suffering, and finds transcendence in a brief moment at the very heart of now.",1h 30min
Dom Solntsa,"6,2",,Garik Sukachyov,Ivan OkhlobystinNataliya PavlovskayaGarik Sukachyov,A young woman Sasha meets a hippie leader and finds trouble.,1h 50min
The Fighter,"7,8",91%,David O. Russell,Scott SilverPaul TamasyEric Johnson,"Basado en la historia de Micky Ward, un joven boxeador que intenta escapar de la sombra de su hermano mayor, más famoso pero problemático, y conseguir su propia oportunidad de alcanzar la grandeza.",1h 56min
The Conspirator,"6,9",56%,Robert Redford,James D. SolomonGregory Bernstein,"Una mujer sufre el odio de la nación cuando es acusada de complicidad en el asesinato de Lincoln, y debe confiar en su abogado para destapar la verdad y salvar su vida.",2h 2min
