Tipo,Nombre,Año de Estreno,Mes de Estreno,ID,Genero
Movie,The Bang Bang Club,2011,7,tt1173687,Accion
Movie,The Myth of the American Sleepover,2011,4,tt1174042,Accion
Movie,The Four-Faced Liar,2010,1,tt1174693,Accion
Movie,All Good Things,2010,12,tt1175709,Accion
Movie,Las buenas hierbas,2010,8,tt1176931,Accion
Movie,A Nightmare on Elm Street,2010,5,tt1179056,Accion
Movie,Tunha Chalawan,2010,,tt11814006,Accion
Movie,Black Death,2010,6,tt1181791,Accion
Movie,Bunraku,2011,11,tt1181795,Accion
Movie,You Will Meet a Tall Dark Stranger,2010,12,tt1182350,Accion
Movie,Dulha Mil Gaya,2010,1,tt1182884,Accion
Movie,Palyaço Recep,2010,,tt11835344,Accion
Movie,Mr. Nice,2011,9,tt1183911,Accion
Movie,Sadiyaan: Boundaries Divide... Love Unites,2010,4,tt1183944,Accion
Movie,Welcome to the Rileys,2011,4,tt1183923,Accion
Movie,Teen Patti,2010,2,tt1183917,Accion
Movie,Veer,2010,1,tt1185412,Accion
Movie,Lope,2010,9,tt1186357,Accion
Movie,Peacock,2010,5,tt1188113,Accion
Movie,My Name Is Khan,2010,2,tt1188996,Accion
Movie,Anaphylaxis,2010,11,tt1189021,Accion
Movie,Woodshop,2010,9,tt1189267,Accion
Movie,Small Town Hero,2010,,tt1189904,Accion
Movie,Shekarchi,2011,12,tt1190072,Accion
Movie,Tingala sa pugad,2010,,tt1191135,Accion
Movie,Right Yaaa Wrong,2010,3,tt1191130,Accion
Movie,Hello Darling,2010,8,tt1191118,Accion
Movie,Tracks in Time,2010,,tt11916846,Accion
Movie,Corrado,2010,6,tt1193473,Accion
Movie,My Own Love Song,2010,4,tt1193507,Accion
Movie,Step Up 3D,2010,8,tt1193631,Accion
Movie,Get Educated: Paathshaala,2010,4,tt1194236,Accion
Movie,Casino Jack,2010,12,tt1194417,Accion
Movie,Jaane Kahan Se Aayi Hai,2010,4,tt1194232,Accion
