,Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película,Genero
149,Movie,Lights Out,2015,6,tt1085448,Accion/Drama
150,Movie,The Last Musketeer,2010,6,tt1087459,Accion/Drama
151,Movie,Consent,2013,2,tt1090749,Accion/Drama
152,Movie,Çiglik Çigliga Bir Sevda,2010,,tt10912916,Accion/Drama
153,Movie,Shanghai,2010,9,tt1092634,Accion/Drama
154,Movie,Orsova Noua 5: Epilog,2010,,tt10931336,Accion/Drama
155,Movie,Louis,2010,8,tt1093902,Accion/Drama
156,Movie,Hamill,2011,10,tt1094666,Accion/Drama
157,Movie,The Quiet Ones,2012,5,tt1094597,Accion/Drama
158,Movie,Forgotten Pills,2010,6,tt1095180,Accion/Drama
159,Movie,Morning,2010,6,tt1095417,Accion/Drama
160,Movie,Do Elephants Pray?,2013,2,tt1098326,Accion/Drama
161,Movie,Frenchy,2022,1,tt1286146,Accion/Drama
162,Movie,Broken Sun,2010,11,tt1101031,Accion/Drama
163,Movie,Peep World,2011,3,tt1103273,Accion/Comedia/Drama
164,Movie,Red Dirt Rising,2014,10,tt1103274,Accion/Drama
165,Movie,Eva,2010,10,tt1105740,Accion/Drama
166,Movie,Dirty Girl,2011,7,tt1107319,Accion/Comedia/Drama
167,Movie,You Have the Right to Remain Violent,2010,5,tt1107855,Accion/Drama
168,Movie,Nirahua Rickshawwala,2010,2,tt11091790,Accion/Drama
169,Movie,Nirahua No. 1,2010,1,tt11091794,Accion/Drama
170,Movie,Kalamity,2010,10,tt1109594,Accion/Drama
171,Movie,Ae Bhaujee Ke Sister,2010,,tt11114760,Accion/Drama
172,Movie,Code Blue,2010,9,tt1111884,Accion/Drama
173,Movie,Carmen's Kiss,2017,11,tt1116183,Accion/Drama
174,Movie,O Sonho de Inacim - O Aprendiz do Padre Rolim,2010,6,tt11176246,Accion/Drama
175,Movie,Pravosudie volkov,2010,10,tt1119192,Accion/Drama
176,Movie,Sajal Ehtidhar,2010,10,tt11198656,Accion/Drama
177,Movie,Blue Valentine,2011,3,tt1120985,Accion/Drama
178,Movie,Di renjie: Tong tian di guo,2010,9,tt1123373,Accion/Drama
179,Movie,Pankh,2010,4,tt1124386,Accion/Drama
180,Movie,Love Ranch,2011,1,tt1125929,Accion/Comedia/Drama
181,Movie,Burlesque,2010,12,tt1126591,Accion/Drama
182,Movie,Morning Glory,2011,1,tt1126618,Accion/Comedia/Drama
183,Movie,The Beautiful Outsiders,2010,,tt11274532,Accion/Drama
184,Movie,Another Harvest Moon,2010,10,tt1129404,Accion/Drama
185,Movie,Sisanje,2010,10,tt1129437,Accion/Drama
186,Movie,Radio Free Albemuth,2014,6,tt1129396,Accion/Drama
187,Movie,The 5th Quarter,2011,3,tt1130964,Accion/Drama
188,Movie,Redlight Greenlight,2010,9,tt1130968,Accion/Drama
189,Movie,Maharaja: the story of ranjit singh,2010,,tt11317462,Accion/Drama
190,Movie,Aaj Ke Karan Arjun,2010,7,tt11317936,Accion/Drama
191,Movie,Donkeys,2010,10,tt1134846,Accion/Comedia/Drama
192,Movie,Krach,2010,9,tt1135083,Accion/Drama
193,Movie,Io non ti assolvo,2010,1,tt11374176,Accion/Drama
194,Movie,Moo-jeok-ja,2010,9,tt1138442,Accion/Drama
195,Movie,The Ghost Writer,2010,5,tt1139328,Accion/Drama
196,Movie,Due vite per caso,2010,5,tt1141306,Accion/Drama
197,Movie,Dreams ahead,2010,6,tt11423890,Accion/Drama
198,Movie,Holy Rollers,2010,12,tt1143896,Accion/Drama
199,Movie,Between the Raindrops,2010,1,tt11440314,Accion/Drama
200,Movie,Dar Joued,2010,10,tt11439792,Accion/Drama
201,Movie,De día y de noche,2011,10,tt1145430,Accion/Drama
202,Movie,Laat Sahab,2010,,tt11483028,Accion/Drama
203,Movie,Rudolfa mantojums,2010,1,tt1149607,Accion/Comedia/Drama
204,Movie,Kong Ming Deng,2010,,tt11496418,Accion/Drama
205,Movie,Adelaide,2010,,tt11512458,Accion/Drama
206,Movie,NY Export: Opus Jazz,2010,3,tt1152278,Accion/Drama
207,Movie,The Karate Kid,2010,7,tt1155076,Accion/Drama
208,Movie,Na putu,2011,3,tt1156531,Accion/Drama
209,Movie,Agua fria de mar,2011,3,tt1156527,Accion/Drama
210,Movie,Odio Los Lunes,Desconocido,Desconocido,tt11574510,Accion/Drama
211,Movie,Gor Bapa No Gotalo,2010,,tt11646432,Accion/Drama
212,Movie,Ame Prem Deewana,2010,7,tt11646390,Accion/Drama
213,Movie,Radha Chudlo Perje Mara Naam No,2010,4,tt11646454,Accion/Drama
214,Movie,Sahabuddin Rather Na Hasya Na,2010,10,tt11646642,Accion/Drama
215,Movie,Biutiful,2011,2,tt1164999,Accion/Drama
216,Movie,L'immortel,2010,5,tt1167638,Accion/Drama
217,Movie,The Company Men,2012,4,tt1172991,Accion/Drama
218,Movie,The Bang Bang Club,2011,7,tt1173687,Accion/Drama
219,Movie,The Myth of the American Sleepover,2011,4,tt1174042,Accion/Comedia/Drama
220,Movie,The Four-Faced Liar,2010,1,tt1174693,Accion/Comedia/Drama
221,Movie,All Good Things,2010,12,tt1175709,Accion/Drama
222,Movie,Las buenas hierbas,2010,8,tt1176931,Accion/Drama
223,Movie,A Nightmare on Elm Street,2010,5,tt1179056,Accion/Drama
